rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls,ast,g_a,g_pk,g_a_pk,xg,xag,xg_xag,npxg,npxg_xag,matches
42,Jonathan Burkardt,de GER,FW,Eint Frankfurt,25-059,2000,1,1,66,0.7,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.36,0.00,1.36,1.36,1.36,Matches
43,Oliver Burke,sct SCO,FW,Union Berlin,28-154,1997,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Marnon Busch,de GER,DF,Heidenheim,30-274,1994,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Aurélio Buta,pt POR,"DF,FW",Eint Frankfurt,28-210,1997,1,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Anthony Caci,fr FRA,"MF,DF",Mainz 05,28-069,1997,2,2,154,1.7,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,6,13,23,0.00,0.00,0.00,0.00,0.00,0.18,0.13,0.30,0.18,0.30,Matches
47,Nicolás Capaldo,ar ARG,MF,Hamburger SV,27-359,1997,2,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,1,6,6,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
48,Abdoulie Ceesay,gm GAM,FW,St. Pauli,21-246,2004,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
49,Václav Černý,cz CZE,FW,Wolfsburg,27-326,1997,2,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
50,Julian Chabot,de GER,DF,Stuttgart,27-208,1998,1,1,81,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,7,0,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
51,Fares Chaïbi,dz ALG,MF,Eint Frankfurt,22-284,2002,2,2,180,2.0,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,6,10,8,0.00,0.50,0.50,0.00,0.50,0.05,0.26,0.31,0.05,0.31,Matches
52,Arthur Chaves,br BRA,DF,Hoffenheim,24-222,2001,2,1,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
53,Chema,es ESP,MF,Stuttgart,20-136,2005,1,0,27,0.3,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,2,2,3.33,0.00,3.33,3.33,3.33,0.53,0.00,0.53,0.53,0.53,Matches
54,Fabio Chiarodia,it ITA,"DF,MF",Gladbach,20-095,2005,2,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,Carney Chukwuemeka,eng ENG,MF,Dortmund,21-323,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
