rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp,totdist,prgdist,cmp,att,cmp,cmp,att,cmp,cmp,att,cmp,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
268,Tim Siersleben,de GER,DF,Heidenheim,25-183,2000,0.9,24,30,80.0,441,86,9,9,100.0,14,16,87.5,1,5,20.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
269,Xavi Simons,nl NED,MF,RB Leipzig,22-140,2003,1.0,33,39,84.6,524,165,14,15,93.3,16,16,100.0,1,3,33.3,0,0.0,0.0,0.0,1,2,1,0,5,Matches
270,Danel Sinani,lu LUX,"MF,FW",St. Pauli,28-156,1997,2.0,74,99,74.7,1334,527,40,47,85.1,20,23,87.0,13,26,50.0,1,0.4,0.7,+0.6,6,11,5,1,15,Matches
271,Tim Skarke,de GER,DF,Union Berlin,29-001,1996,0.3,6,10,60.0,138,9,0,1,0.0,5,5,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
272,Andreas Skov Olsen,dk DEN,FW,Wolfsburg,25-253,1999,1.5,41,47,87.2,629,144,22,25,88.0,16,17,94.1,3,4,75.0,0,0.5,0.7,-0.5,4,1,3,1,4,Matches
273,Robert Skov,dk DEN,DF,Union Berlin,29-111,1996,1.5,27,45,60.0,442,187,14,15,93.3,9,18,50.0,3,8,37.5,0,0.0,0.0,0.0,1,2,2,2,0,Matches
274,Eric Smith,se SWE,DF,St. Pauli,28-243,1997,2.0,113,132,85.6,2366,778,32,35,91.4,57,59,96.6,20,33,60.6,0,0.0,0.1,0.0,0,9,1,0,1,Matches
275,Vinicius Souza,br BRA,MF,Wolfsburg,26-083,1999,2.0,46,53,86.8,722,233,23,24,95.8,21,22,95.5,1,4,25.0,0,0.0,0.1,0.0,0,1,0,0,3,Matches
276,Otto Stange,de GER,MF,Hamburger SV,18-211,2007,0.2,1,2,50.0,26,21,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
277,Josip Stanišić,hr CRO,DF,Bayern Munich,25-159,2000,2.0,88,108,81.5,1320,313,51,58,87.9,33,38,86.8,2,7,28.6,0,0.0,0.0,0.0,0,8,0,0,6,Matches
278,Niklas Stark,de GER,DF,Werder Bremen,30-147,1995,1.5,74,80,92.5,1583,501,18,19,94.7,45,47,95.7,10,12,83.3,0,0.0,0.0,0.0,0,4,0,0,6,Matches
279,Angelo Stiller,de GER,MF,Stuttgart,24-157,2001,2.0,156,177,88.1,2545,718,76,83,91.6,65,70,92.9,11,17,64.7,0,0.2,0.3,-0.2,3,8,1,0,10,Matches
280,Kevin Stöger,at AUT,MF,Gladbach,32-012,1993,1.6,58,83,69.9,1003,349,29,32,90.6,22,27,81.5,7,19,36.8,0,0.5,0.5,-0.5,4,7,3,0,7,Matches
281,Yukinari Sugawara,jp JPN,DF,Werder Bremen,25-072,2000,1.0,47,54,87.0,778,270,19,19,100.0,24,28,85.7,2,4,50.0,0,0.0,0.0,0.0,0,6,0,0,7,Matches
282,Yuito Suzuki,jp JPN,MF,Freiburg,23-318,2001,1.5,25,37,67.6,323,58,13,16,81.3,9,12,75.0,0,2,0.0,0,0.2,0.2,-0.2,3,2,0,0,3,Matches
283,Mattias Svanberg,se SWE,MF,Wolfsburg,26-246,1999,0.5,7,13,53.8,74,26,5,6,83.3,1,4,25.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,2,Matches
284,Daniel Svensson,se SWE,DF,Dortmund,23-208,2002,2.0,99,115,86.1,1596,354,47,52,90.4,47,51,92.2,4,8,50.0,0,0.1,0.1,-0.1,2,6,1,1,6,Matches
285,Haris Tabakovic,ba BIH,FW,Gladbach,31-080,1994,0.9,3,6,50.0,30,0,3,3,100.0,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
286,Jonathan Tah,de GER,DF,Bayern Munich,29-209,1996,1.7,97,102,95.1,1596,521,42,43,97.7,53,55,96.4,2,4,50.0,0,0.0,0.0,0.0,0,6,0,0,9,Matches
287,Axel Tapé,fr FRA,DF,Leverkusen,18-029,2007,0.8,40,44,90.9,636,62,18,20,90.0,20,20,100.0,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
288,Edmond Tapsoba,bf BFA,DF,Leverkusen,26-218,1999,2.0,171,190,90.0,2907,1367,83,85,97.6,70,74,94.6,14,25,56.0,0,0.0,0.0,0.0,1,11,0,0,10,Matches
289,Nathan Tella,ng NGA,"FW,MF",Leverkusen,26-065,1999,1.9,31,41,75.6,509,83,16,17,94.1,14,17,82.4,1,4,25.0,1,0.5,0.3,+0.5,2,1,0,0,5,Matches
290,Arthur Theate,be BEL,DF,Eint Frankfurt,25-106,2000,2.0,91,107,85.0,1590,799,46,48,95.8,36,42,85.7,8,13,61.5,0,0.0,0.1,0.0,0,8,2,0,10,Matches
291,Jan Thielmann,de GER,"FW,MF",Köln,23-105,2002,1.5,18,29,62.1,344,70,7,10,70.0,7,9,77.8,3,5,60.0,1,0.3,0.1,+0.7,3,1,1,1,2,Matches
292,Phillip Tietz,de GER,"MF,FW",Augsburg,28-061,1997,0.6,12,17,70.6,147,28,5,9,55.6,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,1,1,0,2,Matches
293,Malik Tillman,us USA,MF,Leverkusen,23-103,2002,0.7,24,30,80.0,322,14,17,18,94.4,4,6,66.7,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
294,Umut Tohumcu,de GER,MF,Hoffenheim,21-028,2004,1.1,29,37,78.4,526,128,10,10,100.0,15,17,88.2,3,3,100.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches
295,Tiago Tomás,pt POR,"MF,FW",Stuttgart,23-084,2002,1.1,24,30,80.0,322,20,13,16,81.3,5,7,71.4,2,2,100.0,0,0.1,0.0,-0.1,2,1,0,0,3,Matches
296,Jordan Torunarigha,de GER,DF,Hamburger SV,28-032,1997,2.0,117,143,81.8,2329,1006,43,44,97.7,56,64,87.5,16,27,59.3,0,0.0,0.1,0.0,0,16,0,0,17,Matches
297,Bazoumana Touré,ci CIV,FW,Hoffenheim,19-190,2006,2.0,40,61,65.6,706,164,17,25,68.0,14,17,82.4,5,9,55.6,1,0.2,0.2,+0.8,4,2,5,4,3,Matches
298,Omar Traoré,de GER,DF,Heidenheim,27-216,1998,0.5,24,30,80.0,398,129,9,10,90.0,14,17,82.4,1,3,33.3,0,0.0,0.2,0.0,1,2,2,2,1,Matches
299,Philipp Treu,de GER,MF,Freiburg,24-279,2000,0.1,7,8,87.5,84,7,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
300,Christopher Trimmel,at AUT,DF,Union Berlin,38-196,1987,1.6,40,73,54.8,1064,585,7,9,77.8,18,29,62.1,15,32,46.9,0,0.4,0.3,-0.4,5,2,1,1,3,Matches
301,Lukas Ullrich,de GER,DF,Gladbach,21-176,2004,1.8,67,84,79.8,1104,294,32,33,97.0,32,37,86.5,3,12,25.0,0,0.1,0.1,-0.1,3,5,3,0,6,Matches
302,Deniz Undav,de GER,MF,Stuttgart,29-051,1996,1.1,40,54,74.1,711,174,17,19,89.5,18,23,78.3,4,10,40.0,0,0.0,0.1,0.0,1,5,2,0,5,Matches
303,Dayot Upamecano,fr FRA,DF,Bayern Munich,26-316,1998,2.0,149,166,89.8,2782,758,52,54,96.3,85,92,92.4,12,18,66.7,0,0.0,0.0,0.0,0,6,0,0,8,Matches
304,Can Uzun,tr TUR,MF,Eint Frankfurt,19-301,2005,1.5,51,64,79.7,638,167,28,33,84.8,18,22,81.8,0,3,0.0,2,0.9,0.7,+1.1,2,6,0,0,7,Matches
305,Josha Vagnoman,de GER,DF,Stuttgart,24-271,2000,1.8,63,73,86.3,929,218,37,38,97.4,24,29,82.8,1,3,33.3,0,0.1,0.3,-0.1,2,1,1,0,5,Matches
306,Nikola Vasilj,ba BIH,GK,St. Pauli,29-280,1995,2.0,52,67,77.6,1101,717,12,12,100.0,31,31,100.0,8,23,34.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches
307,Nikolas Veratschnig,at AUT,MF,Mainz 05,22-227,2003,0.2,10,13,76.9,142,38,6,7,85.7,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches
308,Elye Wahi,fr FRA,FW,Eint Frankfurt,22-249,2003,1.2,17,23,73.9,232,73,12,16,75.0,4,5,80.0,1,2,50.0,0,0.1,0.0,-0.1,2,3,1,0,3,Matches
309,Hauke Wahl,de GER,DF,St. Pauli,31-146,1994,2.0,112,133,84.2,1997,784,44,48,91.7,56,61,91.8,8,20,40.0,0,0.0,0.1,0.0,0,9,1,0,8,Matches
310,Luca Waldschmidt,de GER,DF,Köln,29-112,1996,0.2,4,6,66.7,73,45,3,4,75.0,0,1,0.0,1,1,100.0,1,0.4,0.3,+0.6,1,2,1,1,0,Matches
311,Nelson Weiper,de GER,FW,Mainz 05,20-175,2005,1.6,22,28,78.6,305,44,10,14,71.4,8,9,88.9,1,2,50.0,0,0.1,0.1,-0.1,2,2,0,0,3,Matches
312,Silvan Widmer,ch SUI,DF,Mainz 05,32-187,1993,0.3,10,23,43.5,148,60,7,9,77.8,2,5,40.0,1,6,16.7,0,0.0,0.0,0.0,0,0,0,0,1,Matches
313,Patrick Wimmer,at AUT,FW,Wolfsburg,24-101,2001,2.0,35,56,62.5,546,178,17,25,68.0,15,21,71.4,2,7,28.6,1,0.0,0.1,+1.0,1,3,2,0,6,Matches
314,Jonas Wind,dk DEN,MF,Wolfsburg,26-213,1999,0.0,0,2,0.0,0,0,0,0,,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
315,Marius Wolf,de GER,"MF,DF",Augsburg,30-104,1995,1.4,17,33,51.5,339,167,7,11,63.6,8,13,61.5,2,5,40.0,0,0.1,0.1,-0.1,2,1,2,2,1,Matches
316,Nick Woltemade,de GER,FW,Stuttgart,23-206,2002,1.0,5,9,55.6,56,12,4,7,57.1,1,1,100.0,0,0,,0,0.1,0.1,-0.1,1,0,1,0,1,Matches
317,Jeong Woo-yeong,kr KOR,MF,Union Berlin,25-353,1999,0.3,7,9,77.8,119,46,3,4,75.0,4,4,100.0,0,1,0.0,0,0.1,0.3,-0.1,1,0,1,1,2,Matches
318,Aaron Zehnter,de GER,DF,Wolfsburg,20-312,2004,2.0,77,101,76.2,1483,479,32,36,88.9,34,38,89.5,10,21,47.6,0,0.2,0.2,-0.2,2,3,0,0,3,Matches
319,Robin Zentner,de GER,GK,Mainz 05,30-315,1994,2.0,52,69,75.4,1566,1265,14,14,100.0,15,15,100.0,22,38,57.9,0,0.0,0.0,0.0,0,4,0,0,0,Matches
320,Cedric Zesiger,ch SUI,DF,Augsburg,27-076,1998,0.1,0,2,0.0,0,0,0,2,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
321,Michael Zetterer,de GER,GK,Eint Frankfurt,30-058,1995,2.0,61,76,80.3,1827,1289,7,7,100.0,29,29,100.0,25,40,62.5,0,0.0,0.0,0.0,0,3,0,0,0,Matches
322,Budu Zivzivadze,ge GEO,FW,Heidenheim,31-182,1994,1.2,9,14,64.3,168,18,3,5,60.0,5,7,71.4,1,1,100.0,0,0.0,0.0,0.0,1,1,1,0,2,Matches
