rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp,totdist,prgdist,cmp,att,cmp,cmp,att,cmp,cmp,att,cmp,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
61,Yan Couto,br BRA,DF,Dortmund,23-097,2002,2.0,79,96,82.3,1293,279,43,43,100.0,31,37,83.8,5,12,41.7,1,0.6,0.4,+0.4,2,3,2,1,4,Matches
62,Patrice Čović,hr CRO,"MF,FW",Werder Bremen,18-075,2007,1.0,48,55,87.3,808,141,21,25,84.0,21,23,91.3,4,4,100.0,0,0.0,0.0,0.0,0,5,0,0,6,Matches
63,Finn Dahmen,de GER,GK,Augsburg,27-165,1998,2.0,50,83,60.2,1469,988,15,15,100.0,17,17,100.0,18,50,36.0,0,0.0,0.0,0.0,0,4,0,0,0,Matches
64,Muhammed Damar,de GER,MF,Hoffenheim,21-152,2004,0.4,13,20,65.0,190,52,6,7,85.7,6,7,85.7,0,3,0.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches
65,Ermedin Demirović,ba BIH,FW,Stuttgart,27-167,1998,1.7,19,23,82.6,189,45,14,16,87.5,3,4,75.0,0,0,,0,0.3,0.6,-0.3,2,2,1,0,3,Matches
66,Rav van den Berg,nl NED,DF,Köln,21-063,2004,1.0,33,38,86.8,611,309,10,11,90.9,19,21,90.5,3,5,60.0,0,0.0,0.0,0.0,0,4,0,0,2,Matches
67,Luis Díaz,co COL,FW,Bayern Munich,28-238,1997,2.0,80,100,80.0,1420,213,41,47,87.2,28,34,82.4,11,16,68.8,2,0.4,0.2,+1.6,5,5,1,0,3,Matches
68,Kevin Diks,id IDN,DF,Gladbach,28-337,1996,1.2,60,68,88.2,1087,420,26,28,92.9,29,32,90.6,5,8,62.5,0,0.0,0.0,0.0,0,3,0,0,3,Matches
69,Eren Dinkçi,de GER,FW,Freiburg,23-269,2001,1.2,29,47,61.7,516,154,14,18,77.8,11,19,57.9,4,7,57.1,0,0.1,0.3,-0.1,1,0,3,1,2,Matches
70,Yan Diomandé,ci CIV,FW,RB Leipzig,18-298,2006,0.8,21,27,77.8,311,131,13,15,86.7,7,10,70.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
