rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
68,Kevin Diks,id IDN,DF,Gladbach,28-337,1996,1.2,0,2,0,0.0,1.73,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
69,Eren Dinkçi,de GER,FW,Freiburg,23-269,2001,1.2,0,3,0,0.0,2.60,0.00,0.00,,18.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
70,Yan Diomandé,ci CIV,FW,RB Leipzig,18-298,2006,0.8,0,1,0,0.0,1.30,0.00,0.00,,14.1,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
71,Ritsu Doan,jp JPN,FW,Eint Frankfurt,27-084,1998,1.8,2,4,2,50.0,2.26,1.13,0.50,1.00,12.3,0,0,0,0.9,0.9,0.23,+1.1,+1.1,Matches
72,Danilho Doekhi,nl NED,DF,Union Berlin,27-070,1998,2.0,0,2,0,0.0,1.00,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
73,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,30-027,1995,0.6,0,1,0,0.0,1.73,0.00,0.00,,26.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
74,Niklas Dorsch,de GER,MF,Heidenheim,27-236,1998,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
75,Adam Dźwigała,pl POL,DF,St. Pauli,29-348,1995,1.7,1,1,1,100.0,0.57,0.57,1.00,1.00,9.3,0,0,0,0.0,0.0,0.05,+1.0,+1.0,Matches
76,Claudio Echeverri,ar ARG,MF,Leverkusen,19-249,2006,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,Maximilian Eggestein,de GER,MF,Freiburg,28-274,1996,2.0,1,4,1,25.0,2.00,0.50,0.25,1.00,16.6,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
78,Daniel Elfadli,ly LBY,DF,Hamburger SV,28-155,1997,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
79,Nico Elvedi,ch SUI,DF,Gladbach,28-343,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
80,Robin Fellhauer,de GER,"MF,DF",Augsburg,27-230,1998,2.0,0,3,0,0.0,1.53,0.00,0.00,,16.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
81,Kilian Fischer,de GER,DF,Wolfsburg,24-331,2000,2.0,0,1,0,0.0,0.51,0.00,0.00,,27.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
82,Mark Flekken,nl NED,GK,Leverkusen,32-087,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
83,Jonas Föhrenbach,de GER,DF,Heidenheim,29-225,1996,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
84,Marco Friedl,at AUT,DF,Werder Bremen,27-176,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
85,Chris Führich,de GER,FW,Stuttgart,27-242,1998,0.8,0,3,1,33.3,3.86,1.29,0.00,0.00,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
86,Joel Fujita,jp JPN,MF,St. Pauli,23-204,2002,2.0,0,1,0,0.0,0.50,0.00,0.00,,18.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
87,Aleix García,es ESP,"MF,DF",Leverkusen,28-072,1997,1.7,0,2,0,0.0,1.20,0.00,0.00,,22.9,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
88,Jusuf Gazibegović,ba BIH,DF,Köln,25-181,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
89,Yannick Gerhardt,de GER,DF,Wolfsburg,31-179,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Dimitris Giannoulis,gr GRE,"DF,MF",Augsburg,29-326,1995,1.4,1,2,1,50.0,1.48,0.74,0.50,1.00,19.6,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
91,Benedikt Gimber,de GER,"DF,MF",Heidenheim,28-201,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
92,Matthias Ginter,de GER,DF,Freiburg,31-232,1994,2.0,0,2,1,50.0,1.00,0.50,0.00,0.00,10.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
93,Serge Gnabry,de GER,MF,Bayern Munich,30-056,1995,1.7,1,4,1,25.0,2.35,0.59,0.25,1.00,19.8,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches
94,Giorgi Gocholeishvili,ge GEO,MF,Hamburger SV,24-206,2001,1.8,0,1,0,0.0,0.56,0.00,0.00,,29.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
95,Leon Goretzka,de GER,MF,Bayern Munich,30-214,1995,1.5,0,2,1,50.0,1.31,0.66,0.00,0.00,10.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
96,Mario Götze,de GER,MF,Eint Frankfurt,33-097,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
