rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
297,Bazoumana Touré,ci CIV,FW,Hoffenheim,19-190,2006,2.0,0,5,2,40.0,2.50,1.00,0.00,0.00,14.3,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
298,Omar Traoré,de GER,DF,Heidenheim,27-216,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
299,Philipp Treu,de GER,MF,Freiburg,24-279,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
300,Christopher Trimmel,at AUT,DF,Union Berlin,38-196,1987,1.6,0,1,0,0.0,0.62,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
301,Lukas Ullrich,de GER,DF,Gladbach,21-176,2004,1.8,0,1,0,0.0,0.56,0.00,0.00,,13.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
302,Deniz Undav,de GER,MF,Stuttgart,29-051,1996,1.1,0,5,0,0.0,4.37,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
303,Dayot Upamecano,fr FRA,DF,Bayern Munich,26-316,1998,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,4.4,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
304,Can Uzun,tr TUR,MF,Eint Frankfurt,19-301,2005,1.5,2,4,3,75.0,2.67,2.00,0.50,0.67,19.1,0,0,0,0.6,0.6,0.14,+1.4,+1.4,Matches
305,Josha Vagnoman,de GER,DF,Stuttgart,24-271,2000,1.8,0,2,1,50.0,1.13,0.56,0.00,0.00,5.3,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
306,Nikola Vasilj,ba BIH,GK,St. Pauli,29-280,1995,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
307,Nikolas Veratschnig,at AUT,MF,Mainz 05,22-227,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
308,Elye Wahi,fr FRA,FW,Eint Frankfurt,22-249,2003,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
309,Hauke Wahl,de GER,DF,St. Pauli,31-146,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
310,Luca Waldschmidt,de GER,DF,Köln,29-112,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
311,Nelson Weiper,de GER,FW,Mainz 05,20-175,2005,1.6,0,2,1,50.0,1.25,0.62,0.00,0.00,14.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
312,Silvan Widmer,ch SUI,DF,Mainz 05,32-187,1993,0.3,0,2,0,0.0,6.92,0.00,0.00,,12.7,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
313,Patrick Wimmer,at AUT,FW,Wolfsburg,24-101,2001,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,17.0,0,0,0,0.5,0.5,0.19,-0.5,-0.5,Matches
314,Jonas Wind,dk DEN,MF,Wolfsburg,26-213,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
315,Marius Wolf,de GER,"MF,DF",Augsburg,30-104,1995,1.4,1,3,1,33.3,2.20,0.73,0.33,1.00,14.8,0,0,0,0.3,0.3,0.11,+0.7,+0.7,Matches
316,Nick Woltemade,de GER,FW,Stuttgart,23-206,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
317,Jeong Woo-yeong,kr KOR,MF,Union Berlin,25-353,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
318,Aaron Zehnter,de GER,DF,Wolfsburg,20-312,2004,2.0,1,2,1,50.0,1.01,0.50,0.50,1.00,22.3,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
319,Robin Zentner,de GER,GK,Mainz 05,30-315,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
320,Cedric Zesiger,ch SUI,DF,Augsburg,27-076,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
321,Michael Zetterer,de GER,GK,Eint Frankfurt,30-058,1995,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
322,Budu Zivzivadze,ge GEO,FW,Heidenheim,31-182,1994,1.2,0,2,1,50.0,1.73,0.87,0.00,0.00,19.5,0,0,0,0.5,0.5,0.27,-0.5,-0.5,Matches
