rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ,tkld,tkld,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
310,Luca Waldschmidt,de GER,DF,Köln,29-112,1996,0.2,10,0,2,5,3,0,10,0,0,,0,,3,14,8,0,0,0,1,0,4,0,Matches
311,Nelson Weiper,de GER,FW,Mainz 05,20-175,2005,1.6,44,0,7,15,23,11,44,1,0,0.0,1,100.0,18,113,21,2,0,2,7,4,34,8,Matches
312,Silvan Widmer,ch SUI,DF,Mainz 05,32-187,1993,0.3,31,2,5,9,17,3,31,0,0,,0,,5,10,4,0,0,0,1,0,13,2,Matches
313,Patrick Wimmer,at AUT,FW,Wolfsburg,24-101,2001,2.0,89,5,14,40,38,5,89,10,2,20.0,6,60.0,46,276,136,4,3,2,6,7,53,10,Matches
314,Jonas Wind,dk DEN,MF,Wolfsburg,26-213,1999,0.0,2,0,0,0,2,1,2,0,0,,0,,1,4,0,0,0,0,0,0,2,0,Matches
315,Marius Wolf,de GER,"MF,DF",Augsburg,30-104,1995,1.4,44,3,8,16,21,3,44,0,0,,0,,23,165,127,5,6,4,0,1,24,10,Matches
316,Nick Woltemade,de GER,FW,Stuttgart,23-206,2002,1.0,22,4,5,4,13,3,22,2,1,50.0,0,0.0,14,51,28,1,2,0,1,4,17,5,Matches
317,Jeong Woo-yeong,kr KOR,MF,Union Berlin,25-353,1999,0.3,10,0,3,4,3,0,10,0,0,,0,,11,52,18,0,1,0,0,1,11,2,Matches
318,Aaron Zehnter,de GER,DF,Wolfsburg,20-312,2004,2.0,113,8,50,36,28,4,113,1,1,100.0,0,0.0,63,208,114,2,5,1,1,0,61,8,Matches
319,Robin Zentner,de GER,GK,Mainz 05,30-315,1994,2.0,72,41,67,5,0,0,72,1,1,100.0,0,0.0,36,244,161,0,0,0,0,0,31,0,Matches
320,Cedric Zesiger,ch SUI,DF,Augsburg,27-076,1998,0.1,6,2,4,1,1,0,6,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches
321,Michael Zetterer,de GER,GK,Eint Frankfurt,30-058,1995,2.0,83,69,83,0,0,0,83,0,0,,0,,47,297,138,0,0,0,0,0,43,0,Matches
322,Budu Zivzivadze,ge GEO,FW,Heidenheim,31-182,1994,1.2,19,1,2,10,7,2,19,1,1,100.0,0,0.0,7,56,3,0,0,0,1,0,5,2,Matches
