rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ,tkld,tkld,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
47,Nicolás Capaldo,ar ARG,MF,Hamburger SV,27-359,1997,1.8,52,2,8,29,15,1,52,0,0,,0,,24,101,63,1,2,0,2,6,33,6,Matches
48,Abdoulie Ceesay,gm GAM,FW,St. Pauli,21-246,2004,0.3,9,0,0,5,4,0,9,0,0,,0,,4,7,0,0,0,0,3,0,8,3,Matches
49,Václav Černý,cz CZE,FW,Wolfsburg,27-326,1997,0.5,17,2,4,8,5,2,17,2,1,50.0,1,50.0,12,91,57,2,1,1,1,0,11,2,Matches
50,Julian Chabot,de GER,DF,Stuttgart,27-208,1998,0.9,99,7,32,64,4,3,99,1,1,100.0,0,0.0,75,353,215,2,0,0,1,0,77,0,Matches
51,Fares Chaïbi,dz ALG,MF,Eint Frankfurt,22-284,2002,2.0,120,2,23,62,37,2,120,4,2,50.0,1,25.0,52,325,182,6,2,1,6,1,75,8,Matches
52,Arthur Chaves,br BRA,DF,Hoffenheim,24-222,2001,1.5,95,6,47,47,2,0,95,0,0,,0,,38,198,137,1,0,0,0,0,57,1,Matches
53,Chema,es ESP,MF,Stuttgart,20-136,2005,0.3,15,1,3,7,5,1,15,0,0,,0,,10,29,20,1,1,0,0,0,8,2,Matches
54,Fabio Chiarodia,it ITA,"DF,MF",Gladbach,20-095,2005,0.9,84,9,28,54,2,0,84,0,0,,0,,44,208,147,0,1,0,1,0,57,0,Matches
55,Carney Chukwuemeka,eng ENG,MF,Dortmund,21-323,2003,0.2,10,0,1,8,2,0,10,3,2,66.7,1,33.3,7,76,53,2,0,0,0,0,8,2,Matches
56,Nnamdi Collins,de GER,DF,Eint Frankfurt,21-241,2004,2.0,102,12,50,49,4,0,102,2,2,100.0,0,0.0,42,202,111,1,0,0,1,0,62,0,Matches
57,Sirlord Conteh,de GER,FW,Heidenheim,29-061,1996,0.4,5,0,0,3,2,1,5,0,0,,0,,3,10,8,1,0,1,0,0,5,1,Matches
58,Danny da Costa,de GER,DF,Mainz 05,32-057,1993,2.0,142,3,42,79,21,0,142,2,2,100.0,0,0.0,70,296,128,1,0,0,1,1,87,0,Matches
59,Vladimír Coufal,cz CZE,DF,Hoffenheim,33-017,1992,2.0,98,7,27,42,31,4,98,2,2,100.0,0,0.0,33,273,112,4,0,0,2,0,51,2,Matches
60,Abdoul Coulibaly,de GER,DF,Werder Bremen,18-108,2007,1.1,86,11,39,45,2,1,86,1,1,100.0,0,0.0,68,341,186,1,0,0,0,1,69,0,Matches
61,Yan Couto,br BRA,DF,Dortmund,23-097,2002,2.0,117,1,19,51,47,1,117,8,2,25.0,5,62.5,62,323,149,4,4,0,2,0,78,19,Matches
62,Patrice Čović,hr CRO,"MF,FW",Werder Bremen,18-075,2007,1.0,60,1,9,44,7,0,60,1,0,0.0,1,100.0,42,169,86,2,0,0,1,0,48,4,Matches
63,Finn Dahmen,de GER,GK,Augsburg,27-165,1998,2.0,98,66,93,5,0,0,98,0,0,,0,,54,313,172,0,0,0,0,0,48,0,Matches
64,Muhammed Damar,de GER,MF,Hoffenheim,21-152,2004,0.4,23,0,0,9,14,2,23,0,0,,0,,10,49,12,0,0,0,0,1,16,3,Matches
65,Ermedin Demirović,ba BIH,FW,Stuttgart,27-167,1998,1.7,34,2,4,14,16,9,34,0,0,,0,,24,111,35,2,0,1,5,5,27,8,Matches
66,Rav van den Berg,nl NED,DF,Köln,21-063,2004,1.0,54,8,33,20,1,1,54,0,0,,0,,26,53,23,0,0,0,2,0,31,0,Matches
67,Luis Díaz,co COL,FW,Bayern Munich,28-238,1997,2.0,129,1,12,50,69,16,129,12,6,50.0,4,33.3,97,596,225,5,2,3,7,4,100,21,Matches
68,Kevin Diks,id IDN,DF,Gladbach,28-337,1996,1.2,79,21,44,29,6,2,79,0,0,,0,,34,164,127,1,0,0,0,0,57,0,Matches
69,Eren Dinkçi,de GER,FW,Freiburg,23-269,2001,1.2,63,2,17,26,20,2,63,1,0,0.0,1,100.0,34,137,49,0,0,0,2,3,39,8,Matches
70,Yan Diomandé,ci CIV,FW,RB Leipzig,18-298,2006,0.8,38,3,8,14,17,6,38,8,6,75.0,2,25.0,24,210,124,7,3,2,1,1,27,4,Matches
