rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl,att,tkl,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
69,Eren Dinkçi,de GER,FW,Freiburg,23-269,2001,1.2,1,1,1,0,0,1,1,100.0,0,2,0,2,3,4,1,2,Matches
70,Yan Diomandé,ci CIV,FW,RB Leipzig,18-298,2006,0.8,1,1,0,1,0,1,3,33.3,2,2,1,1,0,1,0,0,Matches
71,Ritsu Doan,jp JPN,FW,Eint Frankfurt,27-084,1998,1.8,2,1,0,2,0,2,2,100.0,0,4,0,4,3,5,0,0,Matches
72,Danilho Doekhi,nl NED,DF,Union Berlin,27-070,1998,2.0,3,2,3,0,0,3,3,100.0,0,4,2,2,3,6,13,0,Matches
73,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,30-027,1995,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
74,Niklas Dorsch,de GER,MF,Heidenheim,27-236,1998,1.3,3,2,1,2,0,1,3,33.3,2,3,0,3,1,4,3,3,Matches
75,Adam Dźwigała,pl POL,DF,St. Pauli,29-348,1995,1.7,2,2,1,1,0,2,2,100.0,0,0,0,0,1,3,4,0,Matches
76,Claudio Echeverri,ar ARG,MF,Leverkusen,19-249,2006,0.4,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
77,Maximilian Eggestein,de GER,MF,Freiburg,28-274,1996,2.0,4,2,2,1,1,2,2,100.0,0,2,1,1,3,7,2,2,Matches
78,Daniel Elfadli,ly LBY,DF,Hamburger SV,28-155,1997,1.8,3,3,1,2,0,1,2,50.0,1,4,3,1,3,6,13,0,Matches
79,Nico Elvedi,ch SUI,DF,Gladbach,28-343,1996,2.0,1,1,0,1,0,0,0,,0,3,3,0,2,3,12,0,Matches
80,Robin Fellhauer,de GER,"MF,DF",Augsburg,27-230,1998,2.0,7,6,5,2,0,1,6,16.7,5,0,0,0,1,8,6,1,Matches
81,Kilian Fischer,de GER,DF,Wolfsburg,24-331,2000,2.0,3,2,1,0,2,2,3,66.7,1,1,0,1,3,6,10,0,Matches
82,Mark Flekken,nl NED,GK,Leverkusen,32-087,1993,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,2,Matches
83,Jonas Föhrenbach,de GER,DF,Heidenheim,29-225,1996,1.7,3,2,2,1,0,3,6,50.0,3,1,0,1,2,5,6,0,Matches
84,Marco Friedl,at AUT,DF,Werder Bremen,27-176,1998,1.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,5,0,Matches
85,Chris Führich,de GER,FW,Stuttgart,27-242,1998,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
86,Joel Fujita,jp JPN,MF,St. Pauli,23-204,2002,2.0,3,1,1,1,1,1,4,25.0,3,1,0,1,4,7,0,0,Matches
