player,club,position,minutes,nineties,key_passes_per90,prog_passes_per90,shots_per90,xg_per90,interceptions_per90,tackles_won_per90,prog_carries_per90
Ermedin Demirović,Stuttgart,FW,154,1.7,1.1764705882352942,1.7647058823529411,0.5882352941176471,0.11764705882352942,0.5882352941176471,0.0,1.1764705882352942
Rav van den Berg,Köln,DF,90,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Luis Díaz,Bayern Munich,FW,180,2.0,2.5,1.5,3.5,0.8,0.5,0.0,2.5
Kevin Diks,Gladbach,DF,104,1.2,0.0,2.5,1.6666666666666667,0.08333333333333334,1.6666666666666667,0.0,0.8333333333333334
Eren Dinkçi,Freiburg,FW,104,1.2,0.8333333333333334,1.6666666666666667,2.5,0.16666666666666669,2.5,0.8333333333333334,0.0
Yan Diomandé,RB Leipzig,FW,69,0.8,0.0,2.5,1.25,0.37499999999999994,0.0,1.25,8.75
Ritsu Doan,Eint Frankfurt,FW,159,1.8,2.2222222222222223,3.888888888888889,2.2222222222222223,0.5,1.6666666666666665,0.5555555555555556,2.2222222222222223
Danilho Doekhi,Union Berlin,DF,180,2.0,0.5,3.0,1.0,0.05,1.5,1.0,0.0
Jean-Luc Dompé,Hamburger SV,FW,52,0.6,1.6666666666666667,6.666666666666667,1.6666666666666667,0.0,0.0,0.0,11.666666666666668
Niklas Dorsch,Heidenheim,MF,118,1.3,0.7692307692307692,4.615384615384615,0.0,0.0,0.7692307692307692,1.5384615384615383,0.0
Adam Dźwigała,St. Pauli,DF,157,1.7,0.0,1.1764705882352942,0.5882352941176471,0.0,0.5882352941176471,1.1764705882352942,0.5882352941176471
Claudio Echeverri,Leverkusen,MF,37,0.4,2.5,2.5,0.0,0.0,0.0,0.0,0.0
Maximilian Eggestein,Freiburg,MF,180,2.0,1.0,5.5,2.0,0.15,1.5,1.0,1.0
Daniel Elfadli,Hamburger SV,DF,164,1.8,0.0,0.5555555555555556,0.0,0.0,1.6666666666666665,1.6666666666666665,0.0
Nico Elvedi,Gladbach,DF,180,2.0,0.5,7.0,0.0,0.0,1.0,0.5,1.0
Robin Fellhauer,Augsburg,"MF,DF",176,2.0,0.5,3.5,1.5,0.1,0.5,3.0,0.5
Kilian Fischer,Wolfsburg,DF,178,2.0,0.0,2.0,0.5,0.0,1.5,1.0,1.5
Mark Flekken,Leverkusen,GK,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonas Föhrenbach,Heidenheim,DF,150,1.7,0.0,0.5882352941176471,0.0,0.0,1.1764705882352942,1.1764705882352942,0.5882352941176471
Marco Friedl,Werder Bremen,DF,90,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
Chris Führich,Stuttgart,FW,70,0.8,3.75,3.75,3.75,0.125,0.0,0.0,5.0
Joel Fujita,St. Pauli,MF,180,2.0,1.0,6.0,0.5,0.0,2.0,0.5,1.5
Aleix García,Leverkusen,"MF,DF",150,1.7,0.0,5.294117647058823,1.1764705882352942,0.05882352941176471,1.7647058823529411,0.0,0.5882352941176471
Jusuf Gazibegović,Köln,DF,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335
Yannick Gerhardt,Wolfsburg,DF,2,0.0,,,,,,,
Dimitris Giannoulis,Augsburg,"DF,MF",122,1.4,0.7142857142857143,1.4285714285714286,1.4285714285714286,0.07142857142857144,1.4285714285714286,2.142857142857143,4.285714285714286
Benedikt Gimber,Heidenheim,"DF,MF",180,2.0,0.0,2.5,0.0,0.0,0.0,1.0,1.0
Matthias Ginter,Freiburg,DF,180,2.0,0.0,5.5,1.0,0.05,1.5,0.0,0.0
Serge Gnabry,Bayern Munich,MF,153,1.7,2.3529411764705883,7.0588235294117645,2.3529411764705883,0.29411764705882354,0.0,1.7647058823529411,3.5294117647058822
Giorgi Gocholeishvili,Hamburger SV,MF,161,1.8,0.5555555555555556,1.1111111111111112,0.5555555555555556,0.0,0.5555555555555556,0.0,3.333333333333333
